Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge
2023,AL East,6,4,3,5.8,5.28,10,0,1,6,87,91,58,51,17,34,84,1.437,8.69,1.76,7,12,0.98,30.5
2022,AL East,92,70,2,4.19,3.87,162,0,10,46,1441.1,1356,679,620,180,424,1390,1.235,8.68,1.12,82,120,0.986,29.7
2021,AL East,91,71,4,4.09,3.91,162,1,14,34,1405.1,1257,663,610,209,473,1468,1.231,9.4,1.34,90,122,0.984,29.1
2020,AL East,32,28,3,5.2,4.6,60,0,1,17,524.2,517,312,268,81,250,519,1.462,8.9,1.39,38,47,0.982,29.5
2019,AL East,67,95,4,5.11,4.79,162,1,7,33,1440.1,1450,828,767,228,604,1332,1.426,8.32,1.42,96,141,0.984,28
2018,AL East,73,89,4,5.14,4.85,162,0,3,39,1433.2,1476,832,772,208,551,1298,1.414,8.15,1.31,101,138,0.983,29.3
2017,AL East,76,86,4,4.84,4.42,162,2,6,45,1465,1460,784,720,203,549,1372,1.371,8.43,1.25,92,145,0.985,28.8
2016,AL East,89,73,2,4.11,3.78,162,0,10,43,1459.1,1340,666,613,183,461,1314,1.234,8.1,1.13,88,144,0.986,29.8
2015,AL East,93,69,1,4.14,3.8,162,7,10,34,1441,1353,670,609,173,397,1117,1.214,6.98,1.08,88,145,0.985,29.2
2014,AL East,83,79,3,4.23,4,162,3,16,45,1443,1400,686,642,151,490,1199,1.31,7.48,0.94,87,130,0.985,29.6
2013,AL East,74,88,5,4.67,4.25,162,4,11,39,1452,1451,756,685,195,500,1208,1.344,7.49,1.21,111,145,0.982,30.9
2012,AL East,73,89,4,4.84,4.64,162,5,11,29,1443.2,1439,784,745,204,574,1142,1.394,7.12,1.27,101,167,0.984,27.8
2011,AL East,81,81,4,4.7,4.32,162,7,10,33,1458.2,1433,761,700,179,540,1169,1.353,7.21,1.1,110,148,0.982,27.6
2010,AL East,85,77,4,4.49,4.22,162,5,11,45,1440.2,1407,728,676,150,539,1184,1.351,7.4,0.94,92,172,0.985,28
2009,AL East,75,87,4,4.76,4.47,162,10,10,25,1451,1509,771,720,181,551,1181,1.42,7.33,1.12,76,168,0.988,28.4
2008,AL East,86,76,4,3.77,3.49,162,15,13,44,1446.2,1330,610,561,134,467,1184,1.242,7.37,0.83,84,137,0.986,28.6
2007,AL East,83,79,3,4.31,4,162,11,9,44,1448.2,1383,699,644,157,479,1067,1.285,6.63,0.98,102,160,0.984,27.3
2006,AL East,87,75,2,4.65,4.37,162,6,6,42,1428.1,1447,754,694,185,504,1076,1.366,6.78,1.17,99,157,0.984,28.1
2005,AL East,80,82,3,4.35,4.06,162,9,8,35,1447,1475,705,653,185,444,958,1.326,5.96,1.15,95,154,0.985,28.2
2004,AL East,67,94,5,5.11,4.91,161,6,11,37,1421,1505,823,775,181,608,956,1.487,6.05,1.15,91,150,0.985,28.6
2003,AL East,86,76,3,5.1,4.69,162,14,6,35,1435,1560,826,748,184,485,984,1.425,6.17,1.15,117,161,0.981,29
2002,AL East,78,84,3,5.11,4.8,162,6,6,41,1438.1,1504,828,767,177,590,991,1.456,6.2,1.11,107,159,0.982,27.4
2001,AL East,80,82,3,4.65,4.28,162,7,10,41,1462.2,1553,753,696,165,490,1041,1.397,6.41,1.02,97,184,0.985,28.5
2000,AL East,83,79,3,5.6,5.14,162,15,4,37,1437.1,1615,908,821,195,560,978,1.513,6.12,1.22,100,176,0.984,28.9
1999,AL East,84,78,3,5.32,4.92,162,14,9,39,1439,1582,862,787,191,575,1009,1.499,6.31,1.19,106,165,0.983,27.9
1998,AL East,88,74,3,4.71,4.28,163,10,11,47,1465,1443,768,697,169,587,1154,1.386,7.09,1.04,125,131,0.979,30.3
1997,AL East,76,86,5,4.28,3.92,162,19,16,34,1442.2,1453,694,628,167,497,1150,1.352,7.17,1.04,94,150,0.984,28.8
1996,AL East,74,88,4,4.99,4.57,162,19,7,35,1445.2,1476,809,734,187,610,1033,1.443,6.43,1.16,110,187,0.982,28.3
1995,AL East,56,88,5,5.4,4.88,144,16,8,22,1292.2,1336,777,701,145,654,894,1.539,6.22,1.01,97,131,0.982,28.7
1994,AL East,55,60,3,5.03,4.7,115,13,4,26,1025,1053,579,535,127,482,832,1.498,7.31,1.12,81,105,0.981,29
1993,AL East,95,67,1,4.58,4.21,162,11,11,50,1441.1,1441,742,674,134,620,1023,1.43,6.39,0.84,107,144,0.982,29.5
1992,AL East,96,66,1,4.21,3.91,162,18,14,49,1440.2,1346,682,626,124,541,954,1.31,5.96,0.77,93,109,0.985,30
1991,AL East,91,71,1,3.84,3.5,162,10,16,60,1462.2,1301,622,569,121,523,971,1.247,5.97,0.74,127,115,0.98,28.2
1990,AL East,86,76,2,4.08,3.84,162,6,9,48,1454,1434,661,620,143,445,892,1.292,5.52,0.89,86,144,0.986,29
1989,AL East,89,73,1,4.02,3.58,162,12,12,38,1467,1408,651,584,99,478,849,1.286,5.21,0.61,127,164,0.98,29
1988,AL East,87,75,3,4.2,3.8,162,16,17,47,1449,1404,680,611,143,528,904,1.333,5.61,0.89,110,170,0.982,28.9
1987,AL East,96,66,2,4.04,3.74,162,18,8,43,1454,1323,655,605,158,567,1064,1.3,6.59,0.98,111,148,0.982,27.8
1986,AL East,86,76,4,4.5,4.08,163,16,12,44,1476,1467,733,669,164,487,1002,1.324,6.11,1,100,150,0.984,27.7
1985,AL East,99,62,1,3.65,3.31,161,18,9,47,1448,1312,588,532,147,484,823,1.24,5.12,0.91,125,164,0.98,28.9
1984,AL East,89,73,2,4.27,3.86,163,34,10,33,1464,1433,696,628,140,528,875,1.339,5.38,0.86,123,166,0.98,27.8
1983,AL East,89,73,4,4.48,4.12,162,43,8,32,1445.1,1434,726,662,145,517,835,1.35,5.2,0.9,115,148,0.981,26.5
1982,AL East,78,84,6,4.33,3.95,162,41,13,25,1443.2,1428,701,633,147,493,776,1.331,4.84,0.92,136,146,0.978,25.6
1981,AL East,37,69,7,4.4,3.81,106,20,4,18,953.1,908,466,404,72,377,451,1.348,4.26,0.68,105,102,0.975,25.8
1980,AL East,67,95,7,4.7,4.19,162,39,9,23,1466,1523,762,683,135,635,705,1.472,4.33,0.83,133,206,0.979,26
1979,AL East,53,109,7,5.32,4.82,162,44,7,11,1417,1537,862,759,165,594,613,1.504,3.89,1.05,159,187,0.975,25.5
1978,AL East,59,102,7,4.81,4.54,161,35,5,23,1429.1,1529,775,721,149,614,758,1.499,4.77,0.94,131,163,0.979,25.9
1977,AL East,54,107,7,5.11,4.57,161,40,3,20,1428.1,1538,822,725,152,623,771,1.513,4.86,0.96,164,133,0.974,25.7
