Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge
2023,AL East,4,5,5,5.44,5.26,9,0,1,3,78.2,78,49,46,13,23,74,1.284,8.47,1.49,7,8,0.978,28.5
2022,AL East,83,79,4,4.25,3.97,162,2,15,46,1433.1,1406,688,632,171,443,1214,1.29,7.62,1.07,91,151,0.985,27.7
2021,AL East,52,110,5,5.9,5.84,162,1,5,26,1402,1518,956,910,258,563,1234,1.484,7.92,1.66,74,101,0.987,28.1
2020,AL East,25,35,4,4.9,4.51,60,0,1,11,518.2,489,294,260,79,192,487,1.313,8.45,1.37,43,42,0.98,28.3
2019,AL East,54,108,5,6.06,5.59,162,0,5,27,1443,1544,981,897,305,561,1248,1.459,7.78,1.9,108,155,0.982,27.3
2018,AL East,47,115,5,5.51,5.18,162,2,7,28,1431,1552,892,824,234,589,1203,1.496,7.57,1.47,104,159,0.982,27.1
2017,AL East,75,87,5,5.19,4.97,162,1,10,35,1441,1505,841,795,242,579,1233,1.446,7.7,1.51,94,175,0.984,28.2
2016,AL East,89,73,2,4.41,4.22,162,1,9,54,1432,1408,715,671,183,545,1248,1.364,7.84,1.15,80,165,0.987,27.9
2015,AL East,81,81,3,4.28,4.05,162,0,10,43,1434.2,1406,693,646,174,483,1233,1.317,7.73,1.09,77,134,0.987,28.3
2014,AL East,96,66,1,3.66,3.43,162,3,13,53,1461.1,1342,593,557,151,472,1174,1.241,7.23,0.93,87,156,0.986,27.7
2013,AL East,85,77,3,4.38,4.2,162,2,6,57,1453,1438,709,678,202,473,1169,1.315,7.24,1.25,54,165,0.991,27.9
2012,AL East,93,69,2,4.35,3.9,162,1,10,55,1483,1433,705,642,184,481,1177,1.291,7.14,1.12,106,151,0.983,27.6
2011,AL East,69,93,5,5.31,4.89,162,3,7,32,1446.2,1568,860,786,210,535,1044,1.454,6.49,1.31,110,159,0.982,28.2
2010,AL East,66,96,5,4.85,4.59,162,3,7,35,1436.1,1508,785,733,186,520,1007,1.412,6.31,1.17,105,141,0.982,28.4
2009,AL East,64,98,5,5.41,5.15,162,2,3,31,1429,1633,876,817,218,546,933,1.525,5.88,1.37,90,151,0.985,28.1
2008,AL East,68,93,5,5.4,5.13,161,4,4,35,1422,1538,869,810,184,687,922,1.565,5.84,1.16,100,163,0.983,27.9
2007,AL East,69,93,4,5.36,5.17,162,4,9,30,1438.2,1491,868,827,161,696,1087,1.52,6.8,1.01,79,155,0.987,29
2006,AL East,70,92,4,5.55,5.35,162,5,9,35,1419,1579,899,843,216,613,1016,1.545,6.44,1.37,102,156,0.983,27.9
2005,AL East,74,88,4,4.94,4.56,162,2,9,38,1427.2,1458,800,724,180,580,1052,1.428,6.63,1.13,107,154,0.982,28.3
2004,AL East,78,84,3,5.12,4.7,162,8,10,27,1455.1,1488,830,760,159,687,1090,1.495,6.74,0.98,110,161,0.982,27.4
2003,AL East,71,91,4,5.03,4.76,163,9,3,41,1449.2,1579,820,767,198,526,981,1.452,6.09,1.23,105,164,0.983,29.2
2002,AL East,67,95,4,4.77,4.46,162,8,3,31,1450.2,1491,773,719,208,549,967,1.406,6,1.29,91,173,0.985,27.8
2001,AL East,63,98,4,5.12,4.67,162,10,6,31,1432.1,1504,829,744,194,528,938,1.419,5.89,1.22,125,137,0.979,27.6
2000,AL East,74,88,4,5.64,5.37,162,14,6,33,1433.1,1547,913,855,202,665,1017,1.543,6.39,1.27,116,151,0.981,29.1
1999,AL East,78,84,4,5.03,4.77,162,17,11,33,1435,1468,815,760,198,647,982,1.474,6.16,1.24,89,191,0.986,30.1
1998,AL East,79,83,4,4.85,4.74,162,16,10,37,1431.1,1505,785,754,169,535,1065,1.425,6.7,1.06,81,144,0.987,30.5
1997,AL East,98,64,1,4.2,3.91,162,8,10,59,1461,1404,681,635,164,563,1139,1.346,7.02,1.01,97,148,0.984,30.7
