Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge
2023,AL East,9,0,1,2,1.89,9,0,3,0,81,56,18,17,4,20,79,0.938,8.78,0.44,4,9,0.988,28.3
2022,AL East,86,76,3,3.79,3.41,162,0,10,44,1435.2,1260,614,544,172,384,1384,1.145,8.68,1.08,84,110,0.985,29.1
2021,AL East,100,62,1,4.02,3.67,162,1,13,42,1455.2,1264,651,593,184,436,1478,1.168,9.14,1.14,80,130,0.986,28.8
2020,AL East,40,20,1,3.82,3.56,60,0,4,23,527.2,475,229,209,70,168,552,1.219,9.42,1.19,33,52,0.985,28.1
2019,AL East,96,66,2,4.05,3.65,162,0,12,46,1474.1,1274,656,598,181,453,1621,1.171,9.9,1.1,87,126,0.985,27.8
2018,AL East,90,72,3,3.99,3.74,162,0,14,52,1448.1,1236,646,602,164,501,1421,1.199,8.83,1.02,85,136,0.986,27.1
2017,AL East,80,82,3,4.35,3.97,162,0,9,53,1445,1324,704,638,193,503,1352,1.264,8.42,1.2,100,129,0.983,27.6
2016,AL East,68,94,5,4.4,4.2,162,1,8,42,1426.1,1395,713,665,210,491,1357,1.322,8.56,1.33,94,129,0.984,26.9
2015,AL East,80,82,4,3.96,3.74,162,1,12,60,1453.1,1314,642,604,175,477,1355,1.232,8.39,1.08,95,118,0.984,26.7
2014,AL East,77,85,4,3.86,3.56,162,3,22,37,1463.2,1292,625,579,145,482,1437,1.212,8.84,0.89,88,96,0.985,28.4
2013,AL East,92,71,2,3.96,3.74,163,9,17,42,1464,1315,646,608,153,482,1310,1.227,8.05,0.94,59,147,0.99,29
2012,AL East,90,72,3,3.56,3.19,162,7,15,50,1459.2,1233,577,518,139,469,1383,1.166,8.53,0.86,114,155,0.981,28.1
2011,AL East,91,71,2,3.79,3.58,162,15,13,32,1449,1263,614,577,161,504,1143,1.219,7.1,1,73,138,0.988,27.8
2010,AL East,96,66,1,4.01,3.78,162,6,12,51,1453.2,1347,649,611,175,478,1189,1.255,7.36,1.08,85,134,0.986,28
2009,AL East,84,78,3,4.65,4.33,162,3,5,41,1427.1,1421,754,686,183,515,1125,1.356,7.09,1.15,98,135,0.983,28.4
2008,AL East,97,65,1,4.14,3.82,162,7,12,52,1457.2,1349,671,618,166,526,1143,1.286,7.06,1.02,90,153,0.985,27.5
2007,AL East,66,96,5,5.83,5.53,162,2,2,28,1429.2,1649,944,879,199,568,1194,1.551,7.52,1.25,117,155,0.98,27
2006,AL East,61,101,5,5.28,4.96,162,3,7,33,1420.1,1600,856,782,180,606,979,1.553,6.2,1.14,116,156,0.981,27
2005,AL East,67,95,5,5.78,5.39,162,1,4,43,1421.2,1570,936,851,194,615,949,1.537,6.01,1.23,124,139,0.979,27.4
2004,AL East,70,91,4,5.23,4.81,161,3,5,35,1417,1459,842,757,192,580,923,1.439,5.86,1.22,119,139,0.98,27.5
2003,AL East,63,99,5,5.26,4.93,162,7,7,30,1436.2,1454,852,787,196,639,877,1.457,5.49,1.23,103,158,0.983,26.4
2002,AL East,55,106,5,5.7,5.29,161,12,3,25,1440.1,1567,918,846,215,620,925,1.518,5.78,1.34,126,168,0.979,26.9
2001,AL East,62,100,5,5.48,4.94,162,1,6,30,1423.2,1513,887,781,207,569,1030,1.462,6.51,1.31,139,144,0.977,26.9
2000,AL East,69,92,5,5.23,4.86,161,10,8,38,1431.1,1553,842,773,198,533,955,1.457,6,1.24,118,169,0.981,29.3
1999,AL East,69,93,5,5.64,5.06,162,6,5,45,1433,1606,913,805,172,695,1055,1.606,6.63,1.08,135,198,0.978,29.6
1998,AL East,63,99,5,4.64,4.35,162,7,7,28,1443,1425,751,698,171,643,1008,1.433,6.29,1.07,94,178,0.985,27.9
