Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge
2023,AL East,5,4,4,5.22,4.89,9,0,0,2,81,82,47,44,14,36,82,1.457,9.11,1.56,8,11,0.976,31.5
2022,AL East,78,84,5,4.86,4.53,162,5,10,39,1431,1411,787,721,185,526,1346,1.354,8.47,1.16,85,134,0.985,30.2
2021,AL East,92,70,2,4.62,4.26,162,0,7,49,1419,1409,749,671,176,546,1527,1.378,9.68,1.12,108,143,0.981,29.7
2020,AL East,24,36,5,5.85,5.58,60,0,2,14,524,587,351,325,98,252,537,1.601,9.22,1.68,45,59,0.979,29.1
2019,AL East,84,78,3,5.11,4.7,162,1,8,33,1471,1423,828,768,215,605,1633,1.379,9.99,1.32,88,115,0.985,29
2018,AL East,108,54,1,3.99,3.75,162,2,14,46,1458.2,1305,647,608,176,512,1558,1.246,9.61,1.09,77,106,0.987,28.9
2017,AL East,93,69,1,4.12,3.7,162,5,11,39,1482.1,1384,668,610,195,465,1580,1.247,9.59,1.18,107,126,0.982,28.4
2016,AL East,93,69,1,4.28,4,162,9,5,43,1439.2,1342,694,640,176,490,1362,1.273,8.51,1.1,75,139,0.987,29
2015,AL East,78,84,5,4.65,4.31,162,3,10,40,1448.1,1486,753,694,178,478,1218,1.356,7.57,1.11,97,148,0.984,28.6
2014,AL East,71,91,5,4.41,4.01,162,3,7,36,1465.2,1458,715,653,154,482,1213,1.324,7.45,0.95,92,155,0.985,29.9
2013,AL East,97,65,1,4.05,3.79,162,5,8,33,1454,1366,656,613,156,524,1294,1.3,8.01,0.97,80,142,0.987,30.2
2012,AL East,69,93,5,4.98,4.7,162,6,4,35,1443,1449,806,754,190,529,1176,1.371,7.33,1.19,101,159,0.983,28.7
2011,AL East,90,72,3,4.55,4.2,162,2,13,36,1457.1,1366,737,680,156,540,1213,1.308,7.49,0.96,92,120,0.985,30.3
2010,AL East,89,73,3,4.59,4.2,162,3,9,44,1456.2,1402,744,679,152,580,1207,1.361,7.46,0.94,111,132,0.982,29.6
2009,AL East,95,67,2,4.54,4.35,162,8,11,41,1436.2,1494,736,695,167,530,1230,1.409,7.71,1.05,82,121,0.986,29.8
2008,AL East,95,67,2,4.28,4.01,162,5,16,47,1446.1,1369,694,645,147,548,1185,1.325,7.37,0.91,85,149,0.986,29.2
2007,AL East,96,66,1,4.06,3.87,162,5,13,45,1438.2,1350,657,618,151,482,1149,1.273,7.19,0.94,81,145,0.986,31.1
2006,AL East,86,76,3,5.09,4.83,162,3,6,46,1441.1,1570,825,773,181,509,1070,1.442,6.68,1.13,66,174,0.989,31.1
2005,AL East,95,67,2,4.97,4.74,162,6,8,38,1429,1550,805,752,164,440,959,1.393,6.04,1.03,109,135,0.982,33.6
2004,AL East,98,64,2,4.74,4.18,162,4,12,36,1451.1,1430,768,674,159,447,1132,1.293,7.02,0.99,118,129,0.981,32.5
2003,AL East,95,67,2,4.99,4.48,162,5,6,36,1464.2,1503,809,729,153,488,1141,1.359,7.01,0.94,113,130,0.982,31.2
2002,AL East,93,69,2,4.1,3.75,162,5,17,51,1446,1339,665,603,146,430,1157,1.223,7.2,0.91,104,140,0.983,31.1
2001,AL East,82,79,2,4.63,4.15,161,3,9,48,1448,1412,745,667,146,544,1259,1.351,7.83,0.91,113,129,0.981,30.9
2000,AL East,85,77,2,4.6,4.23,162,7,12,46,1452.2,1433,745,683,173,498,1121,1.329,6.95,1.07,109,120,0.982,30.2
1999,AL East,94,68,2,4.43,4,162,6,12,50,1436.2,1396,718,638,160,469,1131,1.298,7.09,1,127,132,0.979,30.1
1998,AL East,92,70,2,4.5,4.18,162,5,8,53,1436,1406,729,667,168,504,1025,1.33,6.42,1.05,105,128,0.983,29.5
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
