Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge
2023,AL East,6,3,2,2.78,2.81,9,0,2,3,80,65,25,25,6,25,101,1.125,11.36,0.68,3,3,0.99,28.7
2022,AL East,99,63,1,3.5,3.3,162,1,16,47,1451.2,1177,567,532,157,444,1459,1.117,9.05,0.97,74,102,0.987,29.2
2021,AL East,92,70,2,4.13,3.74,162,3,13,47,1435.1,1243,669,596,196,492,1569,1.209,9.84,1.23,98,115,0.983,29.3
2020,AL East,33,27,2,4.5,4.35,60,2,2,14,500.2,455,270,242,83,168,528,1.244,9.49,1.49,48,37,0.976,29.2
2019,AL East,103,59,1,4.56,4.31,162,1,9,50,1443,1374,739,691,248,507,1534,1.304,9.57,1.55,102,135,0.982,30.2
2018,AL East,100,62,2,4.13,3.78,162,2,11,49,1456.1,1311,669,611,177,494,1634,1.239,10.1,1.09,94,95,0.984,28.8
2017,AL East,91,71,2,4.07,3.72,162,2,7,36,1448.2,1248,660,599,192,504,1560,1.209,9.69,1.19,95,102,0.984,27.8
2016,AL East,84,78,4,4.33,4.16,162,0,10,48,1428.1,1358,702,660,214,444,1393,1.262,8.78,1.35,86,116,0.985,27.9
2015,AL East,87,75,2,4.31,4.03,162,3,4,48,1457.2,1416,698,652,182,474,1370,1.297,8.46,1.12,93,135,0.985,27.4
2014,AL East,84,78,2,4.1,3.75,162,5,10,48,1453,1392,664,605,164,398,1370,1.232,8.49,1.02,92,107,0.984,29.3
2013,AL East,85,77,3,4.14,3.94,162,7,10,49,1447.1,1452,671,633,171,437,1233,1.305,7.67,1.06,69,139,0.988,31.8
2012,AL East,95,67,1,4.12,3.84,162,6,9,51,1445.1,1401,668,617,190,431,1318,1.268,8.21,1.18,75,135,0.987,30.3
2011,AL East,97,65,1,4.06,3.73,162,5,8,47,1458.1,1423,657,605,152,507,1222,1.323,7.54,0.94,102,141,0.983,31
2010,AL East,95,67,2,4.28,4.06,162,3,8,39,1442.1,1349,693,651,179,540,1154,1.31,7.2,1.12,69,161,0.988,30.3
2009,AL East,103,59,1,4.65,4.26,162,3,8,51,1450,1386,753,687,181,574,1260,1.352,7.82,1.12,86,131,0.985,29.3
2008,AL East,89,73,3,4.49,4.28,162,1,11,42,1441.2,1478,727,685,143,489,1141,1.364,7.12,0.89,83,141,0.986,30.6
2007,AL East,94,68,2,4.8,4.49,162,1,5,34,1450.2,1498,777,724,150,578,1009,1.431,6.26,0.93,88,174,0.985,31.4
2006,AL East,97,65,1,4.73,4.41,162,5,8,43,1443.2,1463,767,708,170,496,1019,1.357,6.35,1.06,104,145,0.983,32.5
2005,AL East,95,67,1,4.87,4.52,162,8,14,46,1430.2,1495,789,718,164,463,985,1.369,6.2,1.03,95,151,0.984,34.2
2004,AL East,101,61,1,4.99,4.69,162,1,5,59,1443.2,1532,808,752,182,445,1058,1.369,6.6,1.13,99,148,0.984,32.9
2003,AL East,101,61,1,4.39,4.02,163,8,12,49,1462,1512,716,653,145,375,1119,1.291,6.89,0.89,114,126,0.981,33.7
2002,AL East,103,58,1,4.33,3.87,161,9,11,53,1452,1441,697,625,144,403,1135,1.27,7.04,0.89,127,117,0.979,33.1
2001,AL East,95,65,1,4.43,4.02,161,7,9,57,1451.1,1429,713,649,158,465,1266,1.305,7.85,0.98,109,132,0.982,30.9
2000,AL East,87,74,1,5.06,4.76,161,9,6,40,1424.1,1458,814,753,177,577,1040,1.429,6.57,1.12,109,132,0.981,32
1999,AL East,98,64,1,4.51,4.13,162,6,10,50,1439.2,1402,731,661,158,581,1111,1.377,6.95,0.99,111,132,0.982,31.2
1998,AL East,114,48,1,4.05,3.82,162,22,16,48,1456.2,1357,656,619,156,466,1080,1.251,6.67,0.96,98,146,0.984,30.2
1997,AL East,96,66,2,4.25,3.84,162,11,10,51,1467.2,1463,688,626,144,532,1165,1.359,7.14,0.88,104,156,0.983,29.6
1996,AL East,92,70,1,4.86,4.65,162,6,9,52,1440,1469,787,744,143,610,1139,1.444,7.12,0.89,91,146,0.985,29.3
1995,AL East,79,65,2,4.74,4.56,145,18,5,35,1284.2,1286,688,651,159,535,908,1.417,6.36,1.11,74,121,0.986,28.1
1994,AL East,70,43,1,4.73,4.34,113,8,2,31,1019.2,1045,534,492,120,398,656,1.415,5.79,1.06,80,122,0.982,29.8
1993,AL East,88,74,2,4.7,4.35,162,11,13,38,1438.1,1467,761,695,170,552,899,1.404,5.63,1.06,105,166,0.983,28.9
1992,AL East,76,86,4,4.6,4.21,162,20,9,44,1452.2,1453,746,679,129,612,851,1.422,5.27,0.8,114,165,0.982,29.5
1991,AL East,71,91,5,4.8,4.42,162,3,11,37,1444,1510,777,709,152,506,936,1.396,5.83,0.95,133,181,0.979,29.5
1990,AL East,67,95,7,4.62,4.21,162,15,6,41,1444.2,1430,749,676,144,618,909,1.418,5.66,0.9,126,164,0.98,29.1
1989,AL East,74,87,5,4.92,4.5,161,15,9,44,1414.2,1550,792,708,150,521,787,1.464,5.01,0.95,122,183,0.98,29.2
1988,AL East,85,76,5,4.65,4.26,161,16,5,43,1456,1512,748,689,157,487,861,1.373,5.32,0.97,134,161,0.978,32.3
1987,AL East,89,73,4,4.68,4.36,162,19,10,47,1446.1,1475,758,700,179,542,900,1.395,5.6,1.11,102,155,0.983,32.1
1986,AL East,90,72,2,4.56,4.11,162,13,8,58,1443.1,1461,738,659,175,492,878,1.353,5.47,1.09,127,153,0.979,30.3
1985,AL East,97,64,2,4.1,3.69,161,25,9,49,1440.1,1373,660,590,157,518,907,1.313,5.67,0.98,126,172,0.979,30.9
1984,AL East,87,75,3,4.19,3.78,162,15,12,43,1465.1,1485,679,615,120,518,992,1.367,6.09,0.74,142,177,0.977,29.8
1983,AL East,91,71,3,4.34,3.86,162,47,12,32,1456.2,1449,703,624,116,455,892,1.307,5.51,0.72,139,157,0.978,28.5
1982,AL East,79,83,5,4.42,3.99,162,24,8,39,1459,1471,716,647,113,491,939,1.345,5.79,0.7,128,158,0.979,29
1981,AL East,59,48,4,3.21,2.9,107,16,13,30,948,827,343,305,64,287,606,1.175,5.75,0.61,72,100,0.982,30.2
1980,AL East,103,59,1,4.09,3.58,162,29,15,50,1464.1,1433,662,583,102,463,845,1.295,5.19,0.63,138,160,0.978,31.4
1979,AL East,89,71,4,4.2,3.83,160,43,10,37,1432.1,1446,672,610,123,455,731,1.327,4.59,0.77,122,183,0.981,31
1978,AL East,100,63,1,3.57,3.18,163,39,16,36,1460.2,1321,582,516,111,478,817,1.232,5.03,0.68,113,134,0.982,28.3
1977,AL East,100,62,1,4.02,3.61,162,52,16,34,1449.1,1395,651,581,139,486,758,1.298,4.71,0.86,132,151,0.979,28.6
1976,AL East,97,62,1,3.62,3.19,159,62,15,37,1455,1300,575,516,97,448,674,1.201,4.17,0.6,126,141,0.98,29.2
1975,AL East,83,77,3,3.68,3.29,160,70,11,20,1424,1325,588,520,104,502,809,1.283,5.11,0.66,135,148,0.978,28.7
1974,AL East,89,73,2,3.85,3.31,162,53,13,24,1455.1,1402,623,535,104,528,829,1.326,5.13,0.64,142,158,0.977,28.4
1973,AL East,80,82,4,3.77,3.34,162,47,16,39,1427.2,1379,610,530,109,457,708,1.286,4.46,0.69,156,172,0.976,29.4
1972,AL East,79,76,4,3.4,3.05,155,35,19,39,1373.1,1306,527,465,87,419,625,1.256,4.1,0.57,134,179,0.978,28.1
1971,AL East,82,80,4,3.96,3.43,162,67,15,12,1452,1382,641,554,126,423,707,1.243,4.38,0.78,125,159,0.981,27.3
1970,AL East,93,69,2,3.75,3.24,163,36,6,49,1471.2,1386,612,530,130,451,777,1.248,4.75,0.8,130,146,0.98,27.5
1969,AL East,80,81,5,3.62,3.23,162,53,13,20,1440.2,1258,587,517,118,522,801,1.236,5,0.74,131,158,0.979,26.6
1968,AL,83,79,5,3.24,2.79,164,45,14,27,1467.1,1308,531,455,99,424,831,1.18,5.1,0.61,139,142,0.979,27.1
1967,AL,72,90,9,3.81,3.24,163,37,16,27,1480.2,1375,621,533,110,480,898,1.253,5.46,0.67,154,144,0.976,27
1966,AL,70,89,10,3.83,3.41,160,29,7,32,1415.2,1318,612,537,124,443,842,1.244,5.35,0.79,142,142,0.977,26.9
1965,AL,77,85,6,3.73,3.28,162,41,11,29,1459.2,1337,604,532,126,511,1001,1.266,6.17,0.78,137,166,0.978,27.2
1964,AL,99,63,1,3.52,3.15,164,46,18,45,1506.2,1312,577,528,129,504,989,1.205,5.91,0.77,109,158,0.983,27
1963,AL,104,57,1,3.4,3.07,161,59,19,31,1449,1239,547,495,115,476,965,1.184,5.99,0.71,110,162,0.982,26.8
1962,AL,96,66,1,4.2,3.7,162,33,10,42,1470.1,1375,680,605,146,499,838,1.275,5.13,0.89,131,151,0.979,27.8
1961,AL,109,53,1,3.75,3.46,163,47,14,39,1451,1288,612,558,137,542,866,1.261,5.37,0.85,124,180,0.98,27.8
1960,AL,97,57,1,4.05,3.52,155,38,16,42,1398,1225,627,546,123,609,712,1.312,4.58,0.79,129,162,0.979,28.5
